cell_id,n_cycles,cycle_life,Qd_mean,Qd_std,IR_mean,IR_std,IR_delta,IR_slope,Tavg_mean,dQd_slope
b1c0,25,1190.0,1.050162108,0.23286203825468146,0.01604543288,0.0033073018000786595,0.016572051,0.0001477609523076921,30.398941981871612,0.00973404046153845
b1c0,50,1190.0,1.063358666,0.1651866283509057,0.01632425832,0.002355214431864007,0.016621681,3.53006351020408e-05,30.978519928463566,0.0020062379687875134
b1c0,100,1190.0,1.0697906089999998,0.11698210949029265,0.01647688882,0.001672830600416183,0.016667154,9.294473111311092e-06,31.28770985553454,0.00044127432883288097
b1c1,25,1179.0,1.0373503960000001,0.21175879942254391,0.015537112519999998,0.004581893225569955,0.016898235,0.00016639358461538445,30.24617377107907,0.010195122461538463
b1c1,50,1179.0,1.0596138279999998,0.1513821647506879,0.01622508702,0.0033121626235516244,0.016904702,6.196542861944778e-05,30.745152082666554,0.002607956773109244
b1c1,100,1179.0,1.0704344110000001,0.10758916642883978,0.016583334979999996,0.002369597441241305,0.01699684,1.869190525052501e-05,31.017011163858175,0.0006476957569756947
b1c10,25,906.0,1.0367039200000001,0.21162889519546993,0.01519391908,0.004480623565198139,0.016520184,0.00016434270615384614,31.937202622933146,0.010202641000000002
b1c10,50,906.0,1.059588522,0.1513839592196852,0.01586231798,0.003238035802784994,0.016550977,6.0793267755102065e-05,32.5264227836059,0.002647476230492191
b1c10,100,906.0,1.070887572,0.10763960414374915,0.01623268906,0.0023198582954067812,0.016675979,1.904891546354644e-05,32.87606916177769,0.000667137438943889
b1c11,25,788.0,1.0161635480000002,0.2074345104775348,0.0149578708,0.004414026017058232,0.016136453,0.0001438379392307692,31.500508991486317,0.009982978923076907
b1c11,50,788.0,1.03846053,0.14836339339647533,0.015550885700000001,0.0031770370038328184,0.016156863,5.3662095030012114e-05,32.07812027438441,0.0025856886674669815
b1c11,100,788.0,1.049483047,0.105486571258053,0.01587671327,0.002270632352736725,0.0162715,1.685321395139514e-05,32.4317293801687,0.0006509144020402025
b1c12,25,902.0,1.0379415,0.21187240793845524,0.015774163800000005,0.003220098760040368,0.01642056,0.00014812625230769242,32.04395405317677,0.010121254769230746
b1c12,50,902.0,1.06025857,0.15146953676326372,0.01609379956,0.0022992953777801594,0.016425503,3.7679697863145285e-05,32.7154514180094,0.002605551620648258
b1c12,100,902.0,1.071333671,0.10767651115586845,0.016274665669999997,0.0016365674618405383,0.016531222,1.0597265808580825e-05,33.12344169500137,0.0006550641458145845
b1c13,25,897.0,1.040262164,0.21234600783641377,0.01634603724,0.0033368523221061525,0.01700953,0.0001533287146153844,30.717414016852896,0.010137545153846145
b1c13,50,897.0,1.062518092,0.1517917745163931,0.016681288000000002,0.002383222434554047,0.017027462,3.940168816326527e-05,31.365260832695217,0.0026019620168067203
b1c13,100,897.0,1.073430505,0.10788692474131642,0.01686618544,0.001696873159013291,0.01714633,1.1125473915391564e-05,31.771244679727488,0.0006484489558955897
b1c14,25,880.0,1.031491084,0.2105574491956923,0.01633488456,0.003346511094477807,0.01690465,0.00014930629538461562,31.763813160997593,0.010053379000000001
b1c14,50,880.0,1.053992784,0.15057741356278687,0.01663472034,0.002385296667773714,0.016963098,3.6943912557022646e-05,32.37269099210505,0.0026083298919567714
b1c14,100,880.0,1.065341888,0.10707777808608962,0.01680525182,0.0016967550464953116,0.017053071,1.0077067110710991e-05,32.746688171939034,0.0006647239531953225
b1c15,25,719.0,1.023179456,0.20886288056571298,0.01619668296,0.003320160587740111,0.016733406,0.000139097266923077,31.738493317351377,0.010002446230769228
b1c15,50,719.0,1.045653832,0.14938864626965653,0.016483526260000003,0.0023652221569589343,0.016804634,3.4959147515006e-05,32.38646720800082,0.0026011107226890716
b1c15,100,719.0,1.0569803169999998,0.10623956952188206,0.01667158657,0.0016847157786408144,0.016914751,1.0561961134113378e-05,32.816242903351714,0.0006624381236123594
b1c16,25,862.0,1.041531728,0.21260676749533733,0.015342333199999997,0.004524451687557148,0.016661555,0.00014981992615384587,31.024852740313776,0.01014114515384614
b1c16,50,862.0,1.064214576,0.1520372927761614,0.01601110872,0.003268440311967052,0.016694959,5.907525752701087e-05,31.651737360855915,0.0026297751644657817
b1c16,100,862.0,1.075604861,0.10810891867154614,0.016363573660000005,0.002339390075682656,0.016816031,1.841120882088206e-05,32.092990921249715,0.0006678998049805011
b1c17,25,857.0,1.0328110400000001,0.21082575141929316,0.01597914712,0.003261984491079715,0.016638942,0.00015013364153846143,30.650231581411227,0.010085930999999992
b1c17,50,857.0,1.055136222,0.15073873740078134,0.01632098036,0.002331790142045212,0.016690899,3.951949406962782e-05,31.308889611664902,0.002600618012004803
b1c17,100,857.0,1.0663351739999998,0.10717579764882894,0.01650946526,0.0016625835946329293,0.016800802,1.1390297953795387e-05,31.767866319949093,0.0006572200480048024
b1c18,25,691.0,1.026469336,0.20953007576351013,0.01909068672,0.0038968701086105864,0.019886132,0.0001835642953846152,30.074637721060114,0.009990945923076904
b1c18,50,691.0,1.084283868,0.29751146088472324,0.01948840936,0.0027840584799999997,0.019886132,4.679089882352909e-05,30.712150402856373,0.005060946381752691
b1c18,100,691.0,1.0755789489999998,0.2105546447291959,0.01782470687,0.0026620532457676113,0.015891589,-4.7443244818481825e-05,31.512746702861836,0.00035961908010801
b1c19,25,788.0,1.044837548,0.21327890075742628,0.015649710639999998,0.003194776405946343,0.016303297,0.00014741276999999975,31.634351263283875,0.01015091538461536
b1c19,50,788.0,1.066893318,0.15241524430373585,0.0159782074,0.002282843246868799,0.016328191,3.818243447779108e-05,32.32069655240128,0.002590022333733485
b1c19,100,788.0,1.0774847869999997,0.10829399107841456,0.01616162039,0.001624900928458261,0.01638364,1.0567779219922086e-05,32.713644543106625,0.0006365072817281705
b1c2,25,1177.0,1.04115918,0.21253272336420853,0.015382873239999999,0.004536435405385328,0.01674987,0.0001668292399999997,30.398499446710094,0.010186984692307706
b1c2,50,1177.0,1.063500544,0.15193491732083467,0.016071433300000004,0.003280864769025473,0.016749149,6.201866223289309e-05,30.889876226120183,0.002613700542617053
b1c2,100,1177.0,1.0745174849999999,0.10799784229582958,0.016433599030000003,0.0023483799264254726,0.016854173,1.8816664452445207e-05,31.164788272079093,0.0006547647830783082
b1c20,25,534.0,1.03125774,0.21050958110794862,0.014163121919999999,0.004178246618047612,0.015240522,0.00012816549384615387,30.971787172882895,0.00988862746153847
b1c20,50,534.0,1.051914956,0.15028056979395596,0.014677581739999999,0.002998960983648202,0.015167462,4.654581767106852e-05,31.508742714837176,0.0024593392749099724
b1c20,100,534.0,1.059142675,0.10652841217139995,0.014906158769999997,0.0021329748575357136,0.015160209,1.2649842466246549e-05,31.83139279736961,0.0004999247458745895
b1c21,25,559.0,1.041071564,0.2125128215856067,0.013914471720000002,0.0041039648890371615,0.015006334,0.00013418398384615376,31.93027410248627,0.010020101076923072
b1c21,50,559.0,1.06266061,0.15181245392186934,0.014453025800000002,0.002951659583415689,0.015000514,4.864099908763506e-05,32.52802005315853,0.0025398337623049236
b1c21,100,559.0,1.071404233,0.10771126102679894,0.014788431510000002,0.0021141635554463353,0.015144967,1.6148156717671747e-05,32.80560397424297,0.0005635516297629801
b1c22,25,891.0,1.039502196,0.2121900148858838,0.015914887399999997,0.003249009527949969,0.01655459,0.00014768603846153816,31.421911547412897,0.0100972342307692
b1c22,50,891.0,1.0615359060000003,0.1516502305273136,0.016238957000000002,0.0023201828099199766,0.016498478,3.803712268907561e-05,32.09658038427867,0.0025816389675870403
b1c22,100,891.0,1.072150017,0.10775764643687431,0.016426053569999998,0.0016529612459651084,0.016682273,1.1032426576657656e-05,32.51547371038611,0.0006367991797179705
b1c23,25,1014.0,1.039110508,0.2121094098150517,0.016129782440000004,0.0032928032644208927,0.016784169,0.00015022477846153847,30.603791185468122,0.010069359461538465
b1c23,50,1014.0,1.061006362,0.15157385631241013,0.01646239986,0.002352056068909277,0.016717058,3.8881414117647105e-05,31.260565441766612,0.002570814957983183
b1c23,100,1014.0,1.0716364470000002,0.10770538654237351,0.01665576256,0.0016761780869325273,0.016928671,1.134266574257431e-05,31.670866801703188,0.0006363017251725171
b1c24,25,1017.0,1.034433736,0.2111550342705584,0.015889117359999996,0.0032436625538711378,0.01655318,0.000148791713076923,31.97371434184674,0.010040086076923074
b1c24,50,1017.0,1.056447874,0.1509234989538406,0.0162187302,0.002317203318680007,0.016568888,3.842121402160867e-05,32.64142893697245,0.0025750292388955504
b1c24,100,1017.0,1.0672528549999998,0.10726529764808782,0.0164215744,0.001651746902687491,0.016682969,1.136720015601558e-05,33.04428331230595,0.0006423798865886621
b1c25,25,854.0,1.035203368,0.21131251745415883,0.015905062560000002,0.0032469139908131114,0.016558962,0.00014878161615384608,32.43295101332044,0.010062918769230753
b1c25,50,854.0,1.05730716,0.1510465868182661,0.01623271666,0.002319200178366754,0.016588176,3.827064533013208e-05,33.11024456360347,0.0025833396782713046
