cell_id,n_cycles,cycle_life,Qd_mean,Qd_std,IR_mean,IR_std,Tavg_mean,dQd_slope,dqdv_peak_first,dqdv_peak_last,dqdv_peak_delta,dqdv_peak_mean,dqdv_peak_std,dqdv_peak_slope,dqdv_area_first,dqdv_area_last,dqdv_area_delta,dqdv_area_mean,dqdv_area_std,dqdv_area_slope,dqdv_peakpos_first,dqdv_peakpos_last,dqdv_peakpos_delta,dqdv_peakpos_mean,dqdv_peakpos_std,dqdv_peakpos_slope
b1c0,25,1190.0,1.050162108,0.23286203825468146,0.01604543288,0.0033073018000786595,30.398941981871612,0.009734040461538465,0.0,-0.02552642141967174,-0.02552642141967174,-0.001487524640863338,0.005412116305304397,-0.0002625401083398431,0.0,-744.9169182161999,-744.9169182161999,-716.6205967664895,148.13228922897048,-6.899972405842945,0.0,3.0,3.0,281.72,447.36504289003176,3.097692307692316
b1c0,50,1190.0,1.063358666,0.1651866283509057,0.01632425832,0.002355214431864007,30.978519928463566,0.0020062379687875035,0.0,0.0,0.0,-0.0014604234712367204,0.005045419458177,-2.283722532070819e-05,0.0,-744.8179307692484,-744.8179307692484,-729.0054618510367,105.51102960518445,-1.6009012166104613,0.0,0.0,0.0,252.82,420.24186797605023,-1.125234093637457
b1c0,100,1190.0,1.0697906089999998,0.11698210949029265,0.01647688882,0.001672830600416183,31.28770985553454,0.0004412743288328866,0.0,0.0,0.0,-0.0015829108563248284,0.0050407994252651,-9.614275725464929e-06,0.0,-737.8886947968984,-737.8886947968984,-734.1971477994392,74.81889062009857,-0.357478936662594,0.0,999.0,999.0,271.21,427.71923723395935,0.3908730873087296
b1c1,25,1179.0,1.0373503960000001,0.21175879942254391,0.015537112519999998,0.004581893225569955,30.24617377107907,0.010195122461538461,0.0,0.0,0.0,-0.00014287795863037573,0.0006999561882698092,1.3738265252920746e-05,0.0,-748.112101418385,-748.112101418385,-714.6709452054805,145.92578977142603,-7.020932930033409,0.0,0.0,0.0,313.88,453.9680446903725,-6.4692307692307685
b1c1,50,1179.0,1.0596138279999998,0.1513821647506879,0.01622508702,0.0033121626235516244,30.745152082666554,0.00260795677310924,0.0,0.0,0.0,-0.0002157173066461525,0.0007705405623713511,-4.516769935791927e-06,0.0,-742.6777838389803,-742.6777838389803,-729.9516520513091,104.34317701987663,-1.7856103171974196,0.0,897.0,897.0,360.54,459.84593985377325,0.7056422569027627
b1c1,100,1179.0,1.0704344110000001,0.10758916642883978,0.016583334979999996,0.002369597441241305,31.017011163858175,0.0006476957569757059,0.0,0.0,0.0,-0.0003751991323438964,0.0011557691144689533,-5.607983939099867e-06,0.0,-741.684287865397,-741.684287865397,-737.0044137437042,74.22280828833719,-0.4322752796558463,0.0,0.0,0.0,347.79,452.08606028056204,-0.8050825082508261
b1c2,25,1177.0,1.04115918,0.21253272336420853,0.015382873239999999,0.004536435405385328,30.398499446710094,0.010186984692307681,0.0,0.0,0.0,-0.0005138781845572293,0.002517478684225948,-6.917590945962701e-05,0.0,-741.4716798421218,-741.4716798421218,-714.5141488015602,145.98814897735812,-7.096156737253386,0.0,39.0,39.0,128.8,321.74548947887365,15.412307692307692
b1c2,50,1177.0,1.063500544,0.15193491732083467,0.016071433300000004,0.003280864769025473,30.889876226120183,0.002613700542617044,0.0,0.0,0.0,-0.0005982996619790848,0.0022960889310315396,-3.4031695764600923e-06,0.0,-751.2094179871447,-751.2094179871447,-730.1009515793157,104.50225892556941,-1.8059529783791881,0.0,0.0,0.0,163.2,351.1445286488172,4.072124849939976
b1c2,100,1177.0,1.0745174849999999,0.10799784229582958,0.016433599030000003,0.0023483799264254726,31.164788272079093,0.0006547647830783099,0.0,0.0,0.0,-0.00032553930524402934,0.0016669307208906372,8.534288635418431e-06,0.0,-744.7322102340979,-744.7322102340979,-736.3872830757495,74.22808109257082,-0.403247616726735,0.0,999.0,999.0,196.63,379.910638308537,1.9701710171017102
b1c3,25,1226.0,1.040303088,0.21235620265968655,0.014992137439999999,0.004421182718530833,28.871106283504897,0.01014755623076922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-745.0173382828945,-745.0173382828945,-710.5193242056237,146.26288392853655,-7.109638686312725,0.0,801.0,801.0,152.2,339.56631163883145,26.151538461538454
