cell_id,cycle_life,n_cycles,Qd_mean,Qd_std,IR_mean,IR_std,Tavg_mean,dQd_slope
b1c0,[477.],25,1.104835152,0.00173006355978501,0.01726566684,0.0001276897577833651,31.82214543177047,0.00016123899999999117
b1c0,[477.],50,1.10517512,0.0029640238408622783,0.01728931304,0.0001178688598159771,31.804071923272122,2.2021022809121618e-05
b1c0,[477.],100,1.105038492,0.0031193638971328745,0.01733813236,0.00012150438280510892,31.807497385473816,1.6304494449446412e-05
b1c1,[491.],25,1.1070002479999999,0.0011079513924789376,0.017763685759999998,0.0002109055552480835,33.54214171912384,3.0378307692296216e-05
b1c1,[491.],50,1.1069323379999998,0.0012090109972849815,0.017645423759999997,0.00019487016093610245,33.605174005963015,1.6488955582227715e-05
b1c1,[491.],100,1.10494644,0.003409138815096857,0.01755915909,0.00017854421746072292,33.59830289682961,-3.328610021002031e-05
b1c2,[424.],25,1.076175716,0.0014446736654843458,0.01647014196,0.00015681509055890777,33.22750945604809,0.00013097084615382667
b1c2,[424.],50,1.0744259304000001,0.015528448451113317,0.0164338666,0.00012539822622222374,33.22374063594966,-0.00020140240288115378
b1c2,[424.],100,1.0746560542,0.011180610186963242,0.016463414620000002,0.00010279994376105278,33.17756576063981,-4.820387278722338e-06
b1c3,[499.],25,1.0982564479999999,0.001253738839829101,0.015894148759999997,7.807337154204627e-05,33.951362231203504,4.105830769230963e-05
b1c3,[499.],50,1.099197896,0.0019130019992629338,0.015883863039999998,9.797681777195275e-05,33.97547928646919,8.235854021608949e-05
b1c3,[499.],100,1.1014322669999999,0.0030594973402523016,0.015916925550000002,9.28327921904082e-05,33.93958543884461,7.682116951694748e-05
b1c4,[444.],25,1.089150536,0.0011343517760836154,0.01648194748,0.0002622823895284042,33.15056081034469,-2.713500000002312e-05
b1c4,[444.],50,1.087969088,0.0025289075601642804,0.01631193278,0.0002565838158228448,33.17285419809613,-9.37607490996331e-05
b1c4,[444.],100,1.0859578399999998,0.003214298876582586,0.01619582082,0.00022114969828482148,33.05027186948681,-6.734896969696467e-05
b1c5,[416.],25,1.0972007320000001,0.0014813732530918478,0.015554552720000002,0.00023789217893314943,33.010269143235156,-0.0001414370769230662
b1c5,[416.],50,1.0924392040000002,0.016805380965261803,0.01540071616,0.00022912936535672242,32.980509040500095,-0.00044710694837934615
b1c5,[416.],100,1.088025367,0.012868867110146521,0.015306582499999999,0.00018995637860448386,33.01550370431462,-0.0001942805022502254
b1c6,[393.],25,1.090016708,0.0012973294332342925,0.01611553936,0.00018283758637870504,33.86684580277278,9.361653846152589e-05
b1c6,[393.],50,1.090895448,0.0016546548636183816,0.016063235939999997,0.0001556688529212458,33.70322197599617,8.154797599040051e-05
b1c6,[393.],100,1.092913134,0.0029479534904818245,0.01604186506,0.00011606079655851253,33.81745006948466,6.429282688268701e-05
b1c7,[777.],25,1.0915334359999997,0.0011131158045342728,0.01480294512,2.355229858900401e-05,33.72187731226627,8.57448461538413e-05
b1c7,[777.],50,1.091776494,0.0010646375951299082,0.01478808882,3.55371747918656e-05,33.82010899284961,1.9896917166864744e-05
b1c7,[777.],100,1.0929825290000001,0.002500204003288325,0.014790600069999998,4.190373961647218e-05,33.766912217149354,5.5001032703266274e-05
b1c8,[904.],25,1.091681268,0.000982886722148579,0.016462469520000002,6.0564453111785036e-05,33.60448512426425,3.976730769229047e-05
b1c8,[904.],50,1.0919022919999999,0.0008683183498786514,0.01644785148,5.104878710184612e-05,33.66944726159009,1.883054981993002e-05
b1c8,[904.],100,1.0901623492999999,0.012096383189641374,0.01646674221,5.336290928431378e-05,33.59821236744562,-4.689287998799896e-05
b1c9,[791.],25,1.098139104,0.0010604151207824124,0.01538869424,7.388260601266291e-05,32.435087646537575,8.971015384614996e-05
b1c9,[791.],50,1.098416984,0.0009089501452466915,0.01537661302,8.105000660715325e-05,32.41774524082191,2.4429522208877546e-05
b1c9,[791.],100,1.097482268,0.001870474549406099,0.01539659944,8.863621508833952e-05,32.35755295299843,-2.964687788778466e-05
b1c10,[492.],25,1.110786812,0.0010882564941483166,0.0170754844,0.00012893396705787054,31.742842113325796,0.00010733438461536575
b1c10,[492.],50,1.1092380512,0.01587602852300444,0.017052218000000004,0.00010437668909732687,31.745366576850344,-0.00019493247154861294
b1c10,[492.],100,1.1111485095999998,0.011546364575546877,0.01706057563,8.554261212806823e-05,31.720671317513244,5.465127200719549e-05
b1c11,[449.],25,1.098690784,0.0014117469177384397,0.01713032064,0.00013403477755773114,33.211141113018044,0.00017621623076920502
b1c11,[449.],50,1.0970766780000003,0.01919297832888153,0.01714097476,0.00015694635850118475,33.24119155022623,-0.00017203914045617032
