Qdis_N,Qdis_cycle10,cell_id,cycle_life,dataset_prefix,delta_Qdis,eol_80pct_q0_cycle,eol_80pct_q0_label,eol_85pct_q0_cycle,eol_85pct_q0_label,eol_88ah_cycle,eol_88ah_label,gap_to_stored_cycle_life,is_censored_80pct_q0,is_censored_85pct_q0,is_censored_88ah,kept_for_modeling,last_valid_qd,max_drop,mean_diff,merge_status,n_cycles,needs_relabel,observed_cycle_count,q0,q0_source,range_Qdis,retention_ratio,skewness_Qdis,slope_linear,slope_ratio,source_batch,std_diff,stored_cycle_life,variance_Qdis
1.0759126,1.0745373,b1c0,1946.0,matr,0.005223400000000211,1980.0,1980.0,1946.0,1946.0,1966.0,1966.0,-143.0,0,0,0.0,1.0,0.8264814,0.4652274999999999,5.3300000000002156e-05,continued_from_b2c7,100,0.0,1995.0,1.072205,median_qd_cycles_2_to_5,0.46836520000000004,1.0048785399161588,9.939728970853363,-0.00020680701298699973,0.033162075871176366,b1,0.06639872259249803,1852.0,0.002146154811085523
1.0806297,1.0797766,b1c1,2053.0,matr,0.005328500000000069,2098.0,2098.0,2053.0,2053.0,2082.0,2082.0,35.0,0,0,0.0,1.0,0.8255862,0.002288600000000196,5.4372448979592546e-05,continued_from_b2c8,100,1.0,2125.0,1.0769552999999998,median_qd_cycles_2_to_5,0.009288300000000138,1.004955355764506,-2.459801446985826,5.535292517018203e-06,-0.33621505477628977,b1,0.0005547671347807154,2160.0,1.4041046779757487e-06
1.0816405,1.0795403,b1c10,906.0,matr,0.006364800000000059,,906.0,,906.0,,906.0,1.0,1,1,1.0,0.0,0.96101874,0.009142300000000159,6.49469387755108e-05,native,100,0.0,905.0,1.07650055,median_qd_cycles_2_to_5,0.009695600000000137,1.0059192261110337,-2.420437396866081,2.5291880024744434e-05,-0.19681362910147102,b1,0.001151115953414319,906.0,2.4687458220936956e-06
1.0599719,1.0581003,b1c11,771.0,matr,0.006193300000000068,,788.0,771.0,771.0,,788.0,1.0,1,0,1.0,1.0,0.88054359,0.008566500000000143,6.31969387755109e-05,native,100,0.0,787.0,1.0554555,median_qd_cycles_2_to_5,0.009460400000000035,1.00587723075796,-2.4595065516083543,2.180940259741822e-05,-0.2370950298683098,b1,0.0010867777356126263,788.0,2.036413854143478e-06
1.0819131,1.081143,b1c12,897.0,matr,0.004347099999999937,,902.0,897.0,897.0,,902.0,1.0,1,0,1.0,0.0,0.91311944,0.00041439999999992594,4.435816326530548e-05,native,100,0.0,901.0,1.0790143,median_qd_cycles_2_to_5,0.005827599999999933,1.0040341844490268,-2.9171483531581233,1.2573115646275923e-05,-0.3542960444170459,b1,0.00016711051697107128,902.0,7.452280068339932e-07
1.0836461,1.0836941,b1c13,897.0,matr,0.0038567999999998825,,897.0,,897.0,,897.0,1.0,1,1,1.0,0.0,0.92313582,0.0007201999999999487,3.935510204081513e-05,native,100,0.0,896.0,1.0814757,median_qd_cycles_2_to_5,0.005983599999999978,1.0035718079443832,-2.5236616354831773,4.45867656154544e-06,-0.6072674114150012,b1,0.00020024286535861828,897.0,6.755986037547209e-07
1.0762016,1.0752021,b1c14,845.0,matr,0.005235500000000171,,880.0,845.0,845.0,,880.0,1.0,1,0,1.0,1.0,0.8800649,0.0047607999999998984,5.342346938775684e-05,native,100,0.0,879.0,1.0722955,median_qd_cycles_2_to_5,0.007016599999999817,1.0048885767719447,-2.471348521136312,2.623412492270825e-05,-0.16729180678542832,b1,0.000588352303315386,880.0,1.4903285187960418e-06
1.0677497,1.0666022,b1c15,699.0,matr,0.006626100000000079,,719.0,699.0,699.0,,719.0,1.0,1,0,1.0,1.0,0.88298881,0.005100199999999999,6.761326530612325e-05,native,100,0.0,718.0,1.063235,median_qd_cycles_2_to_5,0.008215100000000142,1.006244418652078,-2.6678396113563276,2.9049360544229132e-05,-0.20228958106019024,b1,0.0006440616183979763,719.0,1.9424197721232598e-06
1.0863206,1.0857847,b1c16,824.0,matr,0.005154199999999998,,862.0,824.0,824.0,,862.0,1.0,1,0,1.0,1.0,0.88096577,0.004464299999999977,5.2593877551020386e-05,native,100,0.0,861.0,1.08287165,median_qd_cycles_2_to_5,0.007425499999999863,1.004767258767938,-2.288481188260199,2.316027458256776e-05,-0.24886102709906935,b1,0.0005537052306159779,862.0,1.4332652784164748e-06
1.0769763,1.0757509,b1c17,825.0,matr,0.004924300000000104,,857.0,825.0,825.0,,857.0,1.0,1,0,1.0,1.0,0.8832469,0.001229099999999983,5.0247959183674526e-05,native,100,0.0,856.0,1.07360355,median_qd_cycles_2_to_5,0.007173799999999897,1.004593340621537,-2.1236927405368013,1.788623129253169e-05,-0.4211329388110845,b1,0.00028404568841663974,857.0,1.0999413835261732e-06
1.0645274,1.0695512,b1c18,665.0,matr,-0.0016430999999998974,,691.0,665.0,665.0,,691.0,1.0,1,0,1.0,1.0,0.88114411,1.8146027000000002,-1.67663265306112e-05,native,100,0.0,690.0,1.06710325,median_qd_cycles_2_to_5,1.8202613,0.998458876886952,9.948558171818377,-0.00029454159059986984,-0.03565902363854221,b1,0.25923116980720284,691.0,0.032977476867205466
1.0870851,1.0886388,b1c19,740.0,matr,0.0019703999999998167,,788.0,740.0,740.0,,788.0,1.0,1,0,1.0,1.0,0.88093972,0.0012825999999999116,2.0106122448977722e-05,native,100,0.0,787.0,1.0866477,median_qd_cycles_2_to_5,0.004190699999999881,1.001815844905612,-1.4393363633250276,-1.0355845392692226e-05,-1.3034356323102492,b1,0.00035207015935091203,788.0,5.896913482909867e-07
1.0849404,1.0837817,b1c2,1945.0,matr,0.005018100000000025,1976.0,1976.0,1945.0,1945.0,1967.0,1967.0,242.0,0,0,0.0,1.0,0.82610458,0.002243299999999948,5.120510204081659e-05,continued_from_b2c9,100,1.0,1995.0,1.0817747,median_qd_cycles_2_to_5,0.008131200000000005,1.0046467231948077,-2.7983597010464507,1.0295625231922212e-05,-0.29875920250369525,b1,0.0005118544755666834,2237.0,1.0410625875665818e-06
1.0612478,1.0757242,b1c20,504.0,matr,-0.011382199999999898,,534.0,504.0,504.0,,534.0,1.0,1,0,1.0,1.0,0.88078493,0.007362599999999997,-0.00011614489795918263,native,100,0.0,533.0,1.07410775,median_qd_cycles_2_to_5,0.014476399999999945,0.9893885123481537,-0.44710859106812084,-0.0001397761818181655,2.7565932319089526,b1,0.0009212969790998221,534.0,1.7332429038385893e-05
